year,song,link,artist
1974,December 21,,"""Cat's in the Cradle"""
1974,December 28,,"""Angie Baby"""
1974,Barbra Streisand,,3
1974,MFSB,,2
1974,Jim Croce,,1
1975,January 4,,"""Lucy in the Sky with Diamonds"""
1975,January 18,,"""Mandy"""
1975,January 25,,"""Please Mr. Postman"""
1975,February 1,,"""Laughter in the Rain"""
1975,February 8,,"""Fire"""
1975,February 15,,"""You're No Good"""
1975,February 22,,"""Pick Up the Pieces"""
1975,March 1,,"""Best of My Love"""
1975,March 8,,"""Have You Never Been Mellow"""
1975,March 15,,"""Black Water"""
1975,March 22,,"""My Eyes Adored You"""
1975,March 29,,"""Lady Marmalade"""
1975,April 5,,"""Lovin' You"""
1975,April 12,,"""Philadelphia Freedom"""
1975,April 26,,"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song"""
1975,May 3,,"""He Don't Love You (Like I Love You)"""
1975,May 24,,"""Shining Star"""
1975,May 31,,"""Before the Next Teardrop Falls"""
1975,June 7,,"""Thank God I'm a Country Boy"""
1975,June 14,,"""Sister Golden Hair"""
1975,June 21,,"""Love Will Keep Us Together"""
1975,July 19,,"""Listen to What the Man Said"""
1975,July 26,,"""The Hustle"""
1975,August 2,,"""One of These Nights"""
1975,August 9,,"""Jive Talkin'"""
1975,August 23,,"""Fallin' in Love"""
1975,August 30,,"""Get Down Tonight"""
1975,September 6,,"""Rhinestone Cowboy"""
1975,September 20,,"""Fame"""
1975,September 27,,"""I'm Sorry"""
1975,October 4,,"""Fame"""
1975,October 11,,"""Bad Blood"""
1975,November 1,,"""Island Girl"""
1975,November 22,,"""That's the Way (I Like It)"""
1975,November 29,,"""Fly, Robin, Fly"""
1975,December 20,,"""That's the Way (I Like It)"""
1975,December 27,,"""Let's Do It Again"""
1975,Elton John,,7
1975,Captain & Tennille,,4
1975,Tony Orlando and Dawn,,3
1975,Eagles,,2
1975,Barry Manilow,,1
1976,January 3,,"""Saturday Night"""
1976,January 10,,"""Convoy"""
1976,January 17,,"""I Write the Songs"""
1976,January 24,,"""Theme from Mahogany (Do You Know Where You're Going To)"""
1976,January 31,,"""Love Rollercoaster"""
1976,February 7,,"""50 Ways to Leave Your Lover"""
1976,February 28,,"""Theme from S.W.A.T."""
1976,March 6,,"""Love Machine"""
1976,March 13,,"""December, 1963 (Oh, What a Night)"""
1976,April 3,,"""Disco Lady"""
1976,May 1,,"""Let Your Love Flow"""
1976,May 8,,"""Welcome Back"""
1976,May 15,,"""Boogie Fever"""
1976,May 22,,"""Silly Love Songs"""
1976,May 29,,"""Love Hangover"""
1976,June 12,,"""Silly Love Songs"""
1976,July 10,,"""Afternoon Delight"""
1976,July 24,,"""Kiss and Say Goodbye"""
1976,August 7,,"""Don't Go Breaking My Heart"""
1976,September 4,,"""You Should Be Dancing"""
1976,September 11,,"""(Shake, Shake, Shake) Shake Your Booty"""
1976,September 18,,"""Play That Funky Music"""
1976,October 9,,"""A Fifth of Beethoven"""
1976,October 16,,"""Disco Duck"""
1976,October 23,,"""If You Leave Me Now"""
1976,November 6,,"""Rock'n Me"""
1976,November 13,,"""Tonight's the Night (Gonna Be Alright)"""
1976,Rod Stewart,,7
1976,Wings,,5
1976,Johnnie Taylor,,4
1976,Paul Simon,,3
1976,Starland Vocal Band,,2
1976,Bay City Rollers,,1
1977,January 1*,,"""Tonight's the Night (Gonna Be Alright)"""
1977,January 8,,"""You Don't Have to Be a Star (To Be in My Show)"""
1977,January 15,,"""You Make Me Feel Like Dancing"""
1977,January 22,,"""I Wish"""
1977,January 29,,"""Car Wash"""
1977,February 5,,"""Torn Between Two Lovers"""
1977,February 19,,"""Blinded by the Light"""
1977,February 26,,"""New Kid in Town"""
1977,March 5,,"""Evergreen (Love Theme from A Star Is Born)"""
1977,March 26,,"""Rich Girl"""
1977,April 9,,"""Dancing Queen"""
1977,April 16,,"""Don't Give Up on Us"""
1977,April 23,,"""Don't Leave Me This Way"""
1977,April 30,,"""Southern Nights"""
1977,May 7,,"""Hotel California"""
1977,May 14,,"""When I Need You"""
1977,May 21,,"""Sir Duke"""
1977,June 11,,"""I'm Your Boogie Man"""
1977,June 18,,"""Dreams"""
1977,June 25,,"""Got to Give It Up"""
1977,July 2,,"""Gonna Fly Now (Theme From Rocky)"""
1977,July 9,,"""Undercover Angel"""
1977,July 16,,"""Da Doo Ron Ron"""
1977,July 23,,"""Looks Like We Made It"""
1977,July 30,,"""I Just Want to Be Your Everything"""
1977,August 20,,"""Best of My Love"""
1977,September 17,,"""I Just Want to Be Your Everything"""
1977,September 24,,"""Best of My Love"""
1977,October 1,,"""Star Wars Theme/Cantina Band"""
1977,October 15,,"""You Light Up My Life"""
1977,December 24,,"""How Deep Is Your Love"""
1977,Debby Boone,,10
1977,The Emotions,,5
1977,Stevie Wonder,,4
1977,Barbra Streisand,,3
1977,Mary MacGregor,,2
1977,Rod Stewart,,1
1978,January 7,,"""How Deep Is Your Love"""
1978,January 14,,"""Baby Come Back"""
1978,February 4,,"""Stayin' Alive"""
1978,March 4,,"""(Love Is) Thicker Than Water"""
1978,March 18,,"""Night Fever"""
1978,May 13,,"""If I Can't Have You"""
1978,May 20,,"""With a Little Luck"""
1978,June 3,,"""Too Much, Too Little, Too Late"""
1978,June 10,,"""You're the One That I Want"""
1978,June 17,,"""Shadow Dancing"""
1978,August 5,,"""Miss You"""
1978,August 12,,"""Three Times a Lady"""
1978,August 26,,"""Grease"""
1978,September 9,,"""Boogie Oogie Oogie"""
1978,September 30,,"""Kiss You All Over"""
1978,October 28,,"""Hot Child in the City"""
1978,November 4,,"""You Needed Me"""
1978,November 11,,"""MacArthur Park"""
1978,December 2,,"""You Don't Bring Me Flowers"""
1978,December 9,,"""Le Freak"""
1978,December 16,,"""You Don't Bring Me Flowers"""
1978,December 23,,"""Le Freak"""
1978,Bee Gees,,13
1978,Andy Gibb,,9
1978,Exile,,4
1978,Player,,3
1978,Wings,,2
1978,Yvonne Elliman,,1
1979,January 6,,"""Too Much Heaven"""
1979,January 20,,"""Le Freak"""
1979,February 10,,"""Da Ya Think I'm Sexy?"""
1979,March 10,,"""I Will Survive"""
1979,March 24,,"""Tragedy"""
1979,April 7,,"""I Will Survive"""
1979,April 14,,"""What a Fool Believes"""
1979,April 21,,"""Knock on Wood"""
1979,April 28,,"""Heart of Glass"""
1979,May 5,,"""Reunited"""
1979,June 2,,"""Hot Stuff"""
1979,June 9,,"""Love You Inside Out"""
1979,June 16,,"""Hot Stuff"""
1979,June 30,,"""Ring My Bell"""
1979,July 14,,"""Bad Girls"""
1979,August 18,,"""Good Times"""
1979,August 25,,"""My Sharona"""
1979,October 6,,"""Sad Eyes"""
1979,October 13,,"""Don't Stop 'Til You Get Enough"""
1979,October 20,,"""Rise"""
1979,November 3,,"""Pop Muzik"""
1979,November 10,,"""Heartache Tonight"""
1979,November 17,,"""Still"""
1979,November 24,,"""No More Tears (Enough Is Enough)"""
1979,December 8,,"""Babe"""
1979,December 22,,"""Escape (The Piña Colada Song)"""
1979,Donna Summer,,10
1979,The Knack,,6
1979,Bee Gees,,5
1979,Rod Stewart,,4
1979,Gloria Gaynor,,3
1979,Anita Ward,,2
1979,The Doobie Brothers,,1
