year,song,link,artist,Genre,Length,Language,Label,Page_Exists
1974,February 16,,"""The Way We Were""",,,,,No
1974,March 2,,"""Seasons in the Sun""",,,,,No
1974,March 23,,"""Dark Lady""",,,,,No
1974,March 30,,"""Sunshine on My Shoulders""",,,,,No
1974,April 6,,"""Hooked on a Feeling""",,,,,No
1974,April 13,,"""Bennie and the Jets""",,,,,No
1974,April 20,,"""TSOP (The Sound of Philadelphia)""",,,,,No
1974,May 4,,"""The Loco-Motion""",,,,,No
1974,May 18,,"""The Streak""",,,,,No
1974,June 8,,"""Band on the Run""",,,,,No
1974,June 15,,"""Billy Don't Be a Hero""",,,,,No
1974,June 29,,"""Sundown""",,,,,No
1974,July 6,,"""Rock the Boat""",,,,,No
1974,July 13,,"""Rock Your Baby""",,,,,No
1974,July 27,,"""Annie's Song""",,,,,No
1974,August 10,,"""Feel Like Makin' Love""",,,,,No
1974,August 17,,"""The Night Chicago Died""",,,,,No
1974,August 24,,"""(You're) Having My Baby""",,,,,No
1974,September 14,,"""I Shot the Sheriff""",,,,,No
1974,September 21,,"""Can't Get Enough of Your Love, Babe""",,,,,No
1974,September 28,,"""Rock Me Gently""",,,,,No
1974,October 5,,"""I Honestly Love You""",,,,,No
1974,October 19,,"""Nothing From Nothing""",,,,,No
1974,October 26,,"""Then Came You""",,,,,No
1974,November 2,,"""You Haven't Done Nothin'""",,,,,No
1974,November 9,,"""You Ain't Seen Nothing Yet""",,,,,No
1974,November 16,,"""Whatever Gets You thru the Night""",,,,,No
1974,November 23,,"""I Can Help""",,,,,No
1974,December 7,,"""Kung Fu Fighting""",,,,,No
1974,December 21,,"""Cat's in the Cradle""",,,,,No
1974,December 28,,"""Angie Baby""",,,,,No
1974,Barbra Streisand,,3,,,,,No
1974,MFSB,,2,,,,,No
1974,Jim Croce,,1,,,,,No
1975,January 4,,"""Lucy in the Sky with Diamonds""",,,,,No
1975,January 18,,"""Mandy""",,,,,No
1975,January 25,,"""Please Mr. Postman""",,,,,No
1975,February 1,,"""Laughter in the Rain""",,,,,No
1975,February 8,,"""Fire""",,,,,No
1975,February 15,,"""You're No Good""",,,,,No
1975,February 22,,"""Pick Up the Pieces""",,,,,No
1975,March 1,,"""Best of My Love""",,,,,No
1975,March 8,,"""Have You Never Been Mellow""",,,,,No
1975,March 15,,"""Black Water""",,,,,No
1975,March 22,,"""My Eyes Adored You""",,,,,No
1975,March 29,,"""Lady Marmalade""",,,,,No
1975,April 5,,"""Lovin' You""",,,,,No
1975,April 12,,"""Philadelphia Freedom""",,,,,No
1975,April 26,,"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""",,,,,No
1975,May 3,,"""He Don't Love You (Like I Love You)""",,,,,No
1975,May 24,,"""Shining Star""",,,,,No
